name,country_id
Atlas Mountains,Morocco
Durbanville,South Africa
Constantia,South Africa
Stellenbosch,South Africa
Swartland,South Africa
La Rioja,Argentina
Mendoza,Argentina
Rio Negro,Argentina
Maipo Valley,Chile
Casablanca Valley,Chile
Choapa Valley,Chile
California,USA
Michigan,USA
New Mexico,USA
Bordeaux,France
Burgundy,France
Champagne,France
Jura,France
Rhone,France
Baden,Germany
Rheinhesson,Germany
Saxony,Germany
Macedonia,Greece
Aegean Islands,Greece
Ionian Islands,Greece
Lombardy,Italy
Piedmont,Italy
Tuscany,Italy
Sardinia,Italy
Malborough,New Zealand
